,activity,borrower_genders,country,country_code,currency_policy,distribution_model,lender_count,loan_amount,original_language,repayment_interval,sector,status,term_in_months,rMPI
7846,Fish Selling,female,Philippines,PH,shared,field_partner,7,250,English,irregular,Food,funded,8,0.055
7847,Weaving,group,Guatemala,GT,shared,field_partner,46,2200,English,irregular,Arts,funded,9,0.082
7848,Farming,male,Nigeria,NG,shared,field_partner,3,75,English,bullet,Agriculture,funded,17,0.311
7849,Restaurant,female,Colombia,CO,shared,field_partner,17,1025,Spanish,bullet,Food,not_funded,27,0.005
7850,Higher education costs,female,Tajikistan,TJ,shared,field_partner,28,700,Russian,monthly,Education,funded,14,0.086
7851,Personal Expenses,male,Nigeria,NG,shared,field_partner,5,125,English,bullet,Personal Use,funded,14,0.311
7852,Personal Housing Expenses,male,Nicaragua,NI,not shared,field_partner,15,400,Spanish,monthly,Housing,funded,11,0.161
7853,Weaving,group,Guatemala,GT,shared,field_partner,30,1675,Spanish,monthly,Arts,funded,14,0.082
7854,Tailoring,male,Kenya,KE,shared,field_partner,5,250,English,monthly,Services,funded,11,0.075
7855,Farm Supplies,male,El Salvador,SV,shared,field_partner,23,800,Spanish,bullet,Agriculture,funded,11,0.201
7856,Personal Expenses,female,El Salvador,SV,shared,field_partner,28,850,Spanish,monthly,Personal Use,not_funded,18,0.054
7857,Grocery Store,female,Peru,PE,shared,field_partner,24,1400,Spanish,irregular,Food,funded,6,0.062
7858,Food Production/Sales,female,Philippines,PH,shared,field_partner,7,175,English,irregular,Food,funded,7,0.055
7859,Primary/secondary school costs,group,Lebanon,LB,not shared,field_partner,68,3200,English,monthly,Education,funded,8,0.003
7860,Fishing,female,Philippines,PH,shared,field_partner,5,125,English,irregular,Food,funded,8,0.054
7861,Retail,female,Colombia,CO,shared,field_partner,10,325,Spanish,monthly,Retail,funded,14,0.009
7862,Manufacturing,female,Philippines,PH,shared,field_partner,13,350,English,irregular,Manufacturing,funded,7,0.055
7863,Personal Expenses,male,Peru,PE,shared,field_partner,10,350,Spanish,monthly,Personal Use,not_funded,15,0.009
7864,Transportation,female,India,IN,shared,field_partner,6,250,English,monthly,Transportation,funded,13,0.206
7865,Grocery Store,female,Cambodia,KH,not shared,field_partner,11,500,English,monthly,Food,funded,14,0.16
7866,General Store,female,Philippines,PH,shared,field_partner,1,175,English,irregular,Retail,funded,8,0.055
7867,General Store,group,Kenya,KE,shared,field_partner,15,1475,English,monthly,Retail,not_funded,14,0.02
7868,Photography,male,Togo,TG,shared,field_partner,30,850,French,monthly,Services,funded,14,0.067
7869,Higher education costs,female,Jordan,JO,shared,field_partner,48,1425,English,monthly,Education,funded,21,0.005
7870,Used Shoes,group,The Democratic Republic of the Congo,CD,shared,field_partner,136,4600,French,irregular,Clothing,funded,6,0.034
7871,Crafts,female,Peru,PE,shared,field_partner,43,1100,Spanish,monthly,Arts,funded,8,0.062
7872,Food,female,Sierra Leone,SL,shared,field_partner,33,975,English,monthly,Food,funded,10,0.423
7873,Fuel/Firewood,female,Cambodia,KH,shared,field_partner,34,975,English,monthly,Retail,funded,26,0.121
7874,General Store,female,El Salvador,SV,shared,field_partner,12,500,Spanish,monthly,Retail,funded,14,0.054
7875,Fish Selling,female,Philippines,PH,shared,field_partner,11,300,English,irregular,Food,funded,7,0.054
7876,Fishing,group,Cambodia,KH,not shared,field_partner,26,800,English,monthly,Food,funded,1 Year,0.204
7877,Retail,female,Peru,PE,shared,field_partner,19,975,Spanish,monthly,Retail,funded,8,0.062
7878,Fuel/Firewood,female,Kenya,KE,shared,field_partner,10,350,English,irregular,Retail,funded,13,0.075
7879,Furniture Making,female,Cambodia,KH,not shared,field_partner,29,750,English,monthly,Manufacturing,funded,14,0.121
7880,General Store,female,El Salvador,SV,shared,field_partner,4,1500,Spanish,monthly,Retail,not_funded,26,0.077
7881,Personal Housing Expenses,male,Peru,PE,shared,field_partner,14,625,Spanish,monthly,Housing,funded,20,0.071
7882,Clothing Sales,female,Nicaragua,NI,shared,field_partner,13,1225,Spanish,irregular,Clothing,not_funded,14,0.161
7883,Rickshaw,female,Pakistan,PK,shared,field_partner,16,500,English,monthly,Transportation,funded,14,0.039
7884,Retail,female,Togo,TG,shared,field_partner,3,225,French,irregular,Retail,funded,8,0.067
7885,Education provider,male,Uganda,UG,shared,field_partner,59,1500,English,irregular,Education,funded,51,0.371
7886,Personal Housing Expenses,female,Cambodia,KH,not shared,field_partner,58,1500,English,monthly,Housing,funded,14,0.16
7887,Fruits & Vegetables,group,Zimbabwe,ZW,shared,field_partner,27,1050,English,monthly,Food,funded,8,0.024
7888,Restaurant,female,Peru,PE,shared,field_partner,1,1700,Spanish,irregular,Food,funded,6,0.062
7889,Agriculture,male,Ecuador,EC,not shared,field_partner,27,1500,Spanish,bullet,Agriculture,not_funded,17,0.014
7890,Furniture Making,female,Peru,PE,not shared,field_partner,15,375,Spanish,irregular,Manufacturing,funded,7,0
7891,Farming,group,Cambodia,KH,shared,field_partner,16,1500,English,monthly,Agriculture,not_funded,20,0.274
7892,Used Clothing,male,Kenya,KE,shared,field_partner,9,675,English,monthly,Clothing,not_funded,14,0.02
7893,Retail,female,Philippines,PH,shared,field_partner,6,250,English,irregular,Retail,funded,5,0.422
7894,Poultry,female,El Salvador,SV,shared,field_partner,5,300,Spanish,bullet,Agriculture,funded,14,0.077
7895,General Store,female,Philippines,PH,shared,field_partner,7,325,English,irregular,Retail,not_funded,11,0.055
7896,Retail,female,Kenya,KE,shared,field_partner,12,450,English,monthly,Retail,funded,14,0.075
7897,Restaurant,female,Peru,PE,shared,field_partner,24,625,Spanish,monthly,Food,funded,14,0.009
7898,Clothing Sales,female,Peru,PE,not shared,field_partner,14,375,Spanish,monthly,Clothing,funded,8,0.071
7899,Food Market,group,Peru,PE,shared,field_partner,3,2075,Spanish,irregular,Food,funded,6,0
7900,Poultry,female,Vietnam,VN,not shared,field_partner,8,225,English,irregular,Agriculture,funded,14,0.013
7901,Farming,group,Cambodia,KH,shared,field_partner,6,875,English,monthly,Agriculture,not_funded,26,0.274
7902,Perfumes,female,Jordan,JO,shared,field_partner,22,900,English,monthly,Retail,not_funded,21,0.478
7903,Farming,group,Cambodia,KH,shared,field_partner,25,875,English,monthly,Agriculture,funded,14,0.274
7904,Farming,male,Nigeria,NG,shared,field_partner,8,275,English,bullet,Agriculture,not_funded,19,0.311
7905,Personal Housing Expenses,female,Cambodia,KH,not shared,field_partner,35,1000,English,monthly,Housing,funded,17,0.16
7906,Home Products Sales,female,Togo,TG,shared,field_partner,7,175,French,irregular,Retail,funded,5,0.067
7907,Agriculture,male,El Salvador,SV,shared,field_partner,8,800,Spanish,bullet,Agriculture,not_funded,14,0.054
7908,Clothing Sales,group,Nicaragua,NI,shared,field_partner,8,475,Spanish,irregular,Clothing,funded,7,0.161
7909,Used Clothing,female,Togo,TG,shared,field_partner,8,200,French,irregular,Clothing,funded,10,0.067
7910,Sewing,female,Jordan,JO,shared,field_partner,9,750,English,monthly,Services,funded,18,0.005
7911,Charcoal Sales,female,Kenya,KE,shared,field_partner,4,175,English,irregular,Retail,funded,13,0.075
7912,Farm Supplies,female,Honduras,HN,shared,field_partner,58,1475,Spanish,monthly,Agriculture,funded,26,0.109
7913,Personal Housing Expenses,female,Mongolia,MN,shared,field_partner,124,4200,English,monthly,Housing,not_funded,39,0.006
7914,Clothing Sales,male,Kenya,KE,shared,field_partner,10,250,English,monthly,Clothing,funded,11,0.02
7915,Higher education costs,male,Cambodia,KH,shared,field_partner,18,500,English,monthly,Education,funded,14,0.121
7916,Used Clothing,group,Nicaragua,NI,not shared,field_partner,11,325,Spanish,monthly,Clothing,funded,5,0.161
7917,Liquor Store / Off-License,female,Vietnam,VN,shared,field_partner,26,1150,English,irregular,Food,funded,13,0.013
7918,General Store,female,Philippines,PH,shared,field_partner,13,325,English,irregular,Retail,funded,8,0.039
7919,General Store,female,El Salvador,SV,shared,field_partner,31,1500,Spanish,bullet,Retail,funded,8,0.077
7920,Pigs,female,Philippines,PH,shared,field_partner,7,175,English,irregular,Agriculture,funded,8,0.054
7921,Clothing Sales,female,El Salvador,SV,shared,field_partner,12,300,Spanish,bullet,Clothing,funded,14,0.054
7922,Used Clothing,female,Kenya,KE,shared,field_partner,6,200,English,irregular,Clothing,funded,11,0.075
7923,Fruits & Vegetables,female,Philippines,PH,shared,field_partner,11,300,English,irregular,Food,funded,7,0.039
7924,Food Stall,female,Philippines,PH,shared,field_partner,10,350,English,irregular,Food,funded,11,0.055
7925,Farming,group,Cambodia,KH,shared,field_partner,22,1350,English,monthly,Agriculture,not_funded,14,0.274
7926,Clothing Sales,female,Peru,PE,shared,field_partner,28,775,Spanish,monthly,Clothing,funded,8,0.062
7927,Food Production/Sales,female,Philippines,PH,shared,field_partner,20,900,English,irregular,Food,funded,7,0.029
7928,Used Clothing,male,Kenya,KE,shared,field_partner,18,500,English,monthly,Clothing,funded,8,0.02
7929,Pigs,male,Philippines,PH,shared,field_partner,5,325,English,irregular,Agriculture,funded,1 Year,0.055
7930,Charcoal Sales,female,Togo,TG,shared,field_partner,5,175,French,irregular,Retail,funded,1 Year,0.067
7931,Vehicle,female,Cambodia,KH,shared,field_partner,32,1025,English,monthly,Personal Use,funded,25,0.121
7932,Higher education costs,female,Nicaragua,NI,shared,field_partner,48,1500,Spanish,monthly,Education,funded,39,0.077
7933,Clothing Sales,group,Nicaragua,NI,shared,field_partner,33,1200,Spanish,irregular,Clothing,funded,11,0.161
7934,Food Production/Sales,female,Togo,TG,shared,field_partner,2,825,French,irregular,Food,funded,9,0.067
7935,Personal Housing Expenses,female,Jordan,JO,shared,field_partner,10,725,English,monthly,Housing,not_funded,18,0.478
7936,Personal Products Sales,female,Colombia,CO,shared,field_partner,9,525,English,bullet,Retail,funded,8,0.005
7937,Fruits & Vegetables,female,Philippines,PH,not shared,field_partner,7,175,English,irregular,Food,funded,11,0.093
7938,Pigs,female,El Salvador,SV,shared,field_partner,16,650,Spanish,monthly,Agriculture,funded,15,0.077
7939,Bakery,female,Philippines,PH,shared,field_partner,18,500,English,irregular,Food,funded,6,0.029
7940,Personal Housing Expenses,female,Nicaragua,NI,not shared,field_partner,8,450,Spanish,monthly,Housing,funded,14,0.161
7941,Home Energy,female,Kenya,KE,shared,field_partner,8,250,English,irregular,Personal Use,funded,9,0.19
7942,Grocery Store,female,Nicaragua,NI,shared,field_partner,27,700,Spanish,monthly,Food,funded,14,0.077
7943,Motorcycle Transport,group,Uganda,UG,shared,field_partner,46,2975,English,irregular,Transportation,not_funded,10,0.013
7944,Charcoal Sales,female,Sierra Leone,SL,shared,field_partner,26,1150,English,monthly,Retail,not_funded,1 Year,0.319
7945,Fish Selling,female,Philippines,PH,shared,field_partner,1,175,English,irregular,Food,funded,8,0.054
7946,Fruits & Vegetables,male,Uganda,UG,shared,field_partner,15,1025,English,monthly,Food,not_funded,14,0.346
7947,Poultry,male,Guatemala,GT,shared,field_partner,14,700,Spanish,monthly,Agriculture,funded,20,0.067
7948,Clothing Sales,group,Sierra Leone,SL,shared,field_partner,26,1025,English,monthly,Clothing,funded,8,0.319
7949,General Store,group,Peru,PE,shared,field_partner,73,2600,Spanish,irregular,Retail,funded,6,0
7950,Education provider,male,Uganda,UG,shared,field_partner,32,975,English,irregular,Education,funded,35,0.417
7951,Retail,female,Togo,TG,shared,field_partner,8,325,French,monthly,Retail,funded,14,0.067
7952,Clothing Sales,group,Uganda,UG,not shared,field_partner,81,2425,English,irregular,Clothing,funded,6,0.013
7953,Used Shoes,female,Burkina Faso,BF,shared,field_partner,19,525,French,monthly,Clothing,funded,8,0.554
7954,Personal Housing Expenses,male,Nicaragua,NI,not shared,field_partner,20,550,Spanish,monthly,Housing,funded,1 Year,0.161
7955,Farming,female,Cambodia,KH,shared,field_partner,32,1000,English,monthly,Agriculture,funded,25,0.16
7956,Grocery Store,female,Cambodia,KH,not shared,field_partner,8,500,English,monthly,Food,funded,20,0.121
7957,Tailoring,female,Pakistan,PK,shared,field_partner,14,500,English,irregular,Services,funded,1 Year,0.039
7958,Bakery,female,El Salvador,SV,shared,field_partner,19,1200,Spanish,monthly,Food,not_funded,20,0.054
7959,Agriculture,male,El Salvador,SV,shared,field_partner,16,800,Spanish,monthly,Agriculture,not_funded,17,0.077
7960,Farm Supplies,male,Tajikistan,TJ,shared,field_partner,22,650,English,monthly,Agriculture,funded,14,0.033
7961,Farming,female,Malawi,MW,shared,field_partner,2,50,English,monthly,Agriculture,funded,10,0.314
7962,Food Stall,female,Philippines,PH,shared,field_partner,1,250,English,irregular,Food,funded,5,0.422
7963,Services,male,Nicaragua,NI,shared,field_partner,11,275,Spanish,monthly,Services,funded,11,0.077
7964,Fruits & Vegetables,male,El Salvador,SV,shared,field_partner,9,1550,Spanish,monthly,Food,not_funded,26,0.054
7965,Poultry,female,Nigeria,NG,shared,field_partner,22,675,English,monthly,Agriculture,funded,10,0.05
7966,Cattle,female,Pakistan,PK,shared,field_partner,11,300,English,monthly,Agriculture,funded,14,0.039
7967,Farm Supplies,male,Nicaragua,NI,not shared,field_partner,12,400,Spanish,bullet,Agriculture,funded,11,0.161
7968,General Store,female,Kenya,KE,shared,field_partner,9,225,English,monthly,Retail,funded,15,0.223
7969,Tailoring,female,El Salvador,SV,shared,field_partner,12,700,Spanish,monthly,Services,funded,1 Year,0.054
7970,Fruits & Vegetables,female,Kenya,KE,shared,field_partner,16,450,English,monthly,Food,funded,14,0.075
7971,Clothing Sales,group,Dominican Republic,DO,shared,field_partner,37,1350,English,irregular,Clothing,funded,8,0.039
7972,Home Products Sales,female,Peru,PE,not shared,field_partner,14,350,English,irregular,Retail,funded,6,0
7973,Party Supplies,male,Colombia,CO,shared,field_partner,12,525,Spanish,monthly,Retail,not_funded,15,0.009
7974,Food Market,female,Uganda,UG,shared,field_partner,16,400,English,irregular,Food,funded,8,0.013
7975,Retail,female,Timor-Leste,TL,not shared,field_partner,22,1000,English,monthly,Retail,funded,15,0.406
7976,Beauty Salon,female,Kenya,KE,shared,field_partner,9,250,English,monthly,Services,funded,8,0.02
7977,Cosmetics Sales,female,Nicaragua,NI,shared,field_partner,11,425,Spanish,monthly,Retail,funded,1 Year,0.077
7978,Weaving,female,Peru,PE,not shared,field_partner,14,350,Spanish,monthly,Arts,funded,8,0
7979,Higher education costs,female,Cambodia,KH,shared,field_partner,14,425,English,monthly,Education,funded,38,0.16
7980,Cosmetics Sales,male,Ecuador,EC,not shared,field_partner,34,1075,Spanish,monthly,Retail,not_funded,14,0.014
7981,Construction Supplies,female,Nicaragua,NI,shared,field_partner,28,850,Spanish,monthly,Construction,funded,21,0.161
7982,Home Appliances,group,Cambodia,KH,shared,field_partner,6,175,English,monthly,Personal Use,funded,8,0.121
7983,Property,female,Philippines,PH,shared,field_partner,21,575,English,irregular,Housing,funded,16,0.055
7984,Clothing Sales,group,Burundi,BI,shared,field_partner,47,1350,French,monthly,Clothing,funded,10,0.164
7985,Grocery Store,female,Nepal,NP,shared,field_partner,3,150,English,monthly,Food,funded,14,0.094
7986,Fish Selling,female,Ghana,GH,shared,field_partner,13,350,English,irregular,Food,funded,9,0.138
7987,General Store,male,Nicaragua,NI,shared,field_partner,12,325,Spanish,monthly,Retail,funded,14,0.077
7988,Farming,group,Cambodia,KH,shared,field_partner,27,750,English,monthly,Agriculture,funded,14,0.16
7989,General Store,female,Philippines,PH,shared,field_partner,21,800,English,irregular,Retail,funded,8,0.055
7990,Sewing,female,Jordan,JO,shared,field_partner,42,1600,English,monthly,Services,funded,22,0.011
7991,Food Stall,female,Peru,PE,not shared,field_partner,15,375,Spanish,irregular,Food,funded,6,0.062
7992,Food Production/Sales,female,Philippines,PH,shared,field_partner,7,300,English,irregular,Food,funded,8,0.055
7993,Dairy,female,India,IN,shared,field_partner,9,250,English,bullet,Agriculture,funded,43,0.121
7994,General Store,female,Philippines,PH,shared,field_partner,22,600,English,irregular,Retail,funded,7,0.055
7995,Farming,male,Philippines,PH,shared,field_partner,24,650,English,bullet,Agriculture,funded,7,0.039
7996,Transportation,male,Peru,PE,shared,field_partner,2,500,Spanish,irregular,Transportation,funded,6,0.062
7997,Metal Shop,male,Peru,PE,shared,field_partner,22,725,Spanish,monthly,Manufacturing,funded,14,0.038
7998,Sewing,female,Colombia,CO,shared,field_partner,22,600,Spanish,monthly,Services,funded,14,0.009
7999,Farming,male,Nigeria,NG,shared,field_partner,20,575,English,bullet,Agriculture,funded,21,0.311
8000,Cloth & Dressmaking Supplies,group,Guatemala,GT,shared,field_partner,42,1250,Spanish,monthly,Retail,funded,14,0.082
8001,Crafts,male,Peru,PE,not shared,field_partner,24,700,English,bullet,Arts,funded,9,0
8002,Farm Supplies,female,Uganda,UG,shared,field_partner,6,225,English,irregular,Agriculture,funded,7,0.013
8003,Food Market,female,Nigeria,NG,not shared,field_partner,15,450,English,monthly,Food,funded,11,0.08
8004,Services,female,Philippines,PH,shared,field_partner,4,625,English,irregular,Services,funded,7,0.039
8005,Bakery,female,Nicaragua,NI,shared,field_partner,8,300,Spanish,monthly,Food,funded,11,0.036
8006,General Store,female,Philippines,PH,shared,field_partner,13,400,English,irregular,Retail,funded,14,0.055
8007,Farming,group,Cambodia,KH,shared,field_partner,17,500,English,monthly,Agriculture,funded,13,0.204
8008,Personal Products Sales,group,Guatemala,GT,shared,field_partner,26,825,Spanish,irregular,Retail,funded,6,0.082
8009,Higher education costs,female,Nicaragua,NI,shared,field_partner,35,1000,Spanish,monthly,Education,funded,51,0.161
8010,Fishing,female,Philippines,PH,shared,field_partner,3,600,English,irregular,Food,funded,10,0.055
8011,Farming,female,Cambodia,KH,shared,field_partner,5,150,English,monthly,Agriculture,funded,14,0.121
8012,Farming,female,El Salvador,SV,shared,field_partner,10,325,Spanish,bullet,Agriculture,funded,14,0.077
8013,Personal Housing Expenses,female,Guatemala,GT,shared,field_partner,16,1325,Spanish,monthly,Housing,funded,22,0.082
8014,Food Production/Sales,female,Philippines,PH,shared,field_partner,1,275,English,irregular,Food,funded,13,0.055
8015,Retail,female,Nicaragua,NI,shared,field_partner,11,275,Spanish,monthly,Retail,funded,15,0.077
8016,Home Appliances,group,Cambodia,KH,shared,field_partner,10,250,English,monthly,Personal Use,funded,8,0.353
8017,Farming,male,Nigeria,NG,shared,field_partner,5,175,English,bullet,Agriculture,funded,19,0.311
8018,Poultry,female,El Salvador,SV,shared,field_partner,14,600,Spanish,monthly,Agriculture,funded,20,0.077
8019,Farming,female,Honduras,HN,shared,field_partner,9,500,Spanish,irregular,Agriculture,funded,14,0.077
8020,Hardware,male,Colombia,CO,shared,field_partner,35,950,Spanish,bullet,Retail,funded,27,0.005
8021,Medical Clinic,female,Tajikistan,TJ,shared,field_partner,7,325,English,monthly,Health,funded,14,0.086
8022,Personal Products Sales,male,Uganda,UG,not shared,field_partner,27,725,English,monthly,Retail,funded,14,0.013
8023,Farming,female,Philippines,PH,not shared,field_partner,2,75,English,irregular,Agriculture,funded,7,0.055
8024,Beverages,female,Nicaragua,NI,shared,field_partner,16,400,Spanish,monthly,Food,funded,10,0.077
8025,Transportation,male,Philippines,PH,shared,field_partner,7,225,English,irregular,Transportation,funded,5,0.029
8026,General Store,female,Philippines,PH,shared,field_partner,12,300,English,irregular,Retail,funded,1 Year,0.055
8027,Fishing,female,Philippines,PH,shared,field_partner,12,325,English,irregular,Food,funded,1 Year,0.055
8028,Fish Selling,female,Uganda,UG,shared,field_partner,10,250,English,irregular,Food,funded,7,0.013
8029,Bookbinding,male,Bolivia,BO,shared,field_partner,37,1025,Spanish,monthly,Services,funded,14,0.077
8030,Agriculture,group,Togo,TG,shared,field_partner,67,1725,French,monthly,Agriculture,funded,1 Year,0.236
8031,Food Production/Sales,female,Togo,TG,shared,field_partner,6,150,French,irregular,Food,funded,11,0.067
8032,General Store,female,Philippines,PH,shared,field_partner,7,325,English,irregular,Retail,funded,14,0.055
8033,Fruits & Vegetables,female,Nicaragua,NI,not shared,field_partner,24,800,Spanish,monthly,Food,funded,14,0.161
8034,Embroidery,female,Kenya,KE,shared,field_partner,4,350,English,monthly,Arts,funded,14,0.223
8035,Food Stall,male,Colombia,CO,shared,field_partner,17,425,Spanish,bullet,Food,funded,14,0.005
8036,Services,male,El Salvador,SV,shared,field_partner,22,1000,Spanish,monthly,Services,funded,20,0.077
8037,Clothing Sales,female,El Salvador,SV,shared,field_partner,9,800,Spanish,monthly,Clothing,not_funded,20,0.03
8038,Beverages,male,Ecuador,EC,not shared,field_partner,44,1325,Spanish,irregular,Food,funded,9,0.054
8039,Dairy,male,Peru,PE,shared,field_partner,8,625,Spanish,monthly,Agriculture,funded,11,0.009
8040,Farming,male,Ecuador,EC,not shared,field_partner,1,425,English,monthly,Agriculture,funded,9,0.003
8041,Phone Accessories,female,Ghana,GH,shared,field_partner,11,275,English,irregular,Retail,funded,9,0.058
8042,Clothing Sales,female,Lebanon,LB,not shared,field_partner,19,1000,English,monthly,Clothing,funded,14,0.003
8043,Food Production/Sales,female,Togo,TG,shared,field_partner,3,75,French,irregular,Food,funded,8,0.067
8044,Wedding Expenses,male,Lebanon,LB,not shared,field_partner,4,2000,English,monthly,Personal Use,not_funded,17,0.003
8045,Restaurant,female,Peru,PE,shared,field_partner,2,325,English,monthly,Food,funded,5,0.062
8046,Farming,group,Cambodia,KH,shared,field_partner,23,750,English,monthly,Agriculture,funded,14,0.274
8047,Primary/secondary school costs,female,Kenya,KE,shared,field_partner,8,200,English,monthly,Education,funded,14,0.223
8048,General Store,female,Philippines,PH,shared,field_partner,19,500,English,irregular,Retail,funded,8,0.029
8049,Motorcycle Transport,female,Cambodia,KH,not shared,field_partner,35,1000,English,monthly,Transportation,funded,22,0.16
8050,Food Production/Sales,female,Colombia,CO,shared,field_partner,3,275,Spanish,monthly,Food,funded,14,0.009
8051,Cosmetics Sales,female,Liberia,LR,shared,field_partner,9,225,English,irregular,Retail,funded,11,0.527
8052,Home Energy,male,Yemen,YE,shared,field_partner,7,200,English,monthly,Personal Use,funded,13,0.343
8053,Pigs,female,Philippines,PH,shared,field_partner,9,225,English,irregular,Agriculture,funded,11,0.055
8054,Charcoal Sales,female,Uganda,UG,shared,field_partner,1,200,English,irregular,Retail,funded,6,0.013
8055,Retail,female,Peru,PE,shared,field_partner,9,375,Spanish,monthly,Retail,funded,8,0
8056,Pigs,female,Philippines,PH,shared,field_partner,6,200,English,irregular,Agriculture,funded,7,0.039
8057,Home Products Sales,female,Bolivia,BO,not shared,field_partner,15,600,Spanish,monthly,Retail,funded,14,0.077
8058,General Store,female,Sierra Leone,SL,shared,field_partner,6,200,English,irregular,Retail,funded,11,0.319
8059,General Store,female,Philippines,PH,shared,field_partner,6,200,English,irregular,Retail,funded,11,0.054
8060,Retail,female,Philippines,PH,shared,field_partner,15,375,English,irregular,Retail,funded,7,0.029
8061,Farming,female,Philippines,PH,not shared,field_partner,13,375,English,bullet,Agriculture,funded,7,0.09
8062,Fruits & Vegetables,female,Kenya,KE,shared,field_partner,8,200,English,irregular,Food,funded,8,0.02
8063,Animal Sales,female,Tajikistan,TJ,shared,field_partner,26,850,English,monthly,Agriculture,funded,20,0.033
8064,Services,female,Colombia,CO,shared,field_partner,15,475,Spanish,monthly,Services,funded,15,0.009
8065,Rickshaw,female,Pakistan,PK,shared,field_partner,24,675,English,monthly,Transportation,funded,14,0.039
8066,Retail,male,Honduras,HN,shared,field_partner,6,375,Spanish,monthly,Retail,funded,11,0.112
8067,Clothing Sales,female,Philippines,PH,shared,field_partner,13,325,English,irregular,Clothing,funded,11,0.055
8068,Clothing,group,Mali,ML,shared,field_partner,25,1050,French,monthly,Clothing,funded,8,0.484
8069,Clothing Sales,female,Philippines,PH,shared,field_partner,1,300,English,irregular,Clothing,funded,8,0.055
8070,Clothing,group,Burkina Faso,BF,shared,field_partner,52,1425,French,irregular,Clothing,funded,6,0.554
8071,Pigs,male,Cameroon,CM,not shared,field_partner,4,400,English,monthly,Agriculture,funded,20,0.167
8072,Cereals,male,Kenya,KE,shared,field_partner,17,425,English,irregular,Food,funded,13,0.075
8073,Pigs,group,Cambodia,KH,shared,field_partner,37,1150,English,monthly,Agriculture,funded,14,0.12
8074,Retail,female,Colombia,CO,shared,field_partner,17,475,Spanish,monthly,Retail,funded,14,0.009
8075,Pigs,female,Philippines,PH,shared,field_partner,5,250,English,irregular,Agriculture,funded,10,0.055
8076,Primary/secondary school costs,female,Philippines,PH,shared,field_partner,5,200,English,irregular,Education,funded,8,0.029
8077,Food,female,Philippines,PH,shared,field_partner,5,125,English,irregular,Food,funded,1 Year,0.055
8078,General Store,female,Sierra Leone,SL,shared,field_partner,42,1175,English,monthly,Retail,funded,13,0.319
8079,Food Market,female,Peru,PE,shared,field_partner,17,725,Spanish,monthly,Food,funded,14,0.038
8080,Food,female,Philippines,PH,shared,field_partner,7,250,English,irregular,Food,funded,8,0.091
8081,Personal Expenses,male,Nigeria,NG,shared,field_partner,3,100,English,bullet,Personal Use,funded,14,0.311
8082,Food Market,female,Nigeria,NG,not shared,field_partner,10,450,English,monthly,Food,funded,11,0.605
8083,Farming,male,Kenya,KE,shared,field_partner,6,500,English,monthly,Agriculture,not_funded,14,0.223
8084,Fruits & Vegetables,group,Uganda,UG,shared,field_partner,31,1575,English,irregular,Food,funded,1 Year,0.013
8085,Farming,female,Kenya,KE,shared,field_partner,23,650,English,monthly,Agriculture,funded,14,0.509
8086,Grocery Store,male,Jordan,JO,shared,field_partner,38,1450,English,monthly,Food,funded,21,0.005
8087,Taxi,group,Pakistan,PK,shared,field_partner,17,650,English,monthly,Transportation,funded,11,0.039
8088,Fishing,male,Honduras,HN,not shared,field_partner,20,550,Spanish,monthly,Food,funded,1 Year,0.112
8089,Food Production/Sales,female,Nigeria,NG,shared,field_partner,9,350,English,monthly,Food,funded,10,0.107
8090,Farming,group,Cambodia,KH,shared,field_partner,10,750,English,monthly,Agriculture,funded,13,0.16
8091,Grocery Store,female,Cambodia,KH,not shared,field_partner,26,1000,English,monthly,Food,funded,18,0.16
8092,Farming,male,El Salvador,SV,shared,field_partner,9,300,Spanish,bullet,Agriculture,funded,11,0.054
8093,Food,female,Nicaragua,NI,shared,field_partner,8,425,Spanish,monthly,Food,funded,8,0.161
8094,Personal Housing Expenses,male,Cambodia,KH,not shared,field_partner,24,600,English,monthly,Housing,funded,15,0.16
8095,Hotel,male,Uganda,UG,shared,field_partner,12,1400,English,monthly,Services,not_funded,14,0.013
8096,Dairy,female,Kenya,KE,shared,field_partner,17,650,English,monthly,Agriculture,funded,14,0.509
8097,Farming,male,Nigeria,NG,shared,field_partner,2,50,English,bullet,Agriculture,funded,14,0.311
8098,Farming,female,Philippines,PH,shared,field_partner,13,325,English,monthly,Agriculture,funded,9,0.497
8099,General Store,female,Peru,PE,not shared,field_partner,7,325,Spanish,irregular,Retail,funded,8,0
8100,Agriculture,male,El Salvador,SV,shared,field_partner,5,200,Spanish,bullet,Agriculture,funded,11,0.201
8101,Retail,male,Nicaragua,NI,shared,field_partner,12,1400,Spanish,monthly,Retail,not_funded,20,0.108
8102,Personal Medical Expenses,female,Nicaragua,NI,not shared,field_partner,6,150,Spanish,monthly,Health,funded,8,0.161
8103,Home Energy,male,Tajikistan,TJ,shared,field_partner,8,200,Russian,monthly,Personal Use,funded,14,0.086
8104,Vehicle,male,Peru,PE,shared,field_partner,5,700,Spanish,monthly,Personal Use,not_funded,14,0.009
8105,Home Appliances,group,Cambodia,KH,shared,field_partner,7,175,English,monthly,Personal Use,funded,8,0.204
8106,Used Shoes,male,Kenya,KE,shared,field_partner,12,1000,English,irregular,Clothing,not_funded,14,0.509
8107,Food Stall,male,Kenya,KE,shared,field_partner,8,200,English,monthly,Food,funded,8,0.02
